,GEOGCD_P,GEOGCD,GEOGNM,GEOGNM_P,SI_ID
2,E05004983,E05004983,Barming and Teston,Barming,6006/2017
285,E05000536,E05011095,Borough & Bankside,Cathedrals,1202/2016
286,E05000535,E05011096,Camberwell Green,Camberwell Green,1202/2016
287,E05000541,E05011096,Camberwell Green,Faraday,1202/2016
288,E0500534,E05011096,Camberwell Green,Brunswick Park,1202/2016
289,E05000551,E05011097,Champion Hill,South Camberwell,1202/2016
290,E05000537,E05011098,Chaucer,Chaucer,1202/2016
291,E05000539,E05011099,Dulwich Hill,East Dulwich,1202/2016
292,E05000547,E05011099,Dulwich Hill,Peckham Rye,1202/2016
293,E05000538,E05011099,Dulwich Hill,College,1202/2016
294,E05000554,E05011100,Dulwich Village,Village,1202/2016
295,E05000551,E05011100,Dulwich Village,South Camberwell,1202/2016
296,E05000538,E05011101,Dulwich Wood,College,1202/2016
297,E05000540,E05011102,Faraday,East Walworth,1202/2016
298,E05000541,E05011102,Faraday,Faraday,1202/2016
299,E05000544,E05011102,Faraday,Newington,1202/2016
300,E05000546,E05011102,Faraday,Peckham,1202/2016
301,E05000533,E05011103,Goose Green,The Lane,1202/2016
302,E05000551,E05011103,Goose Green,South Camberwell,1202/2016
303,E05000547,E05011103,Goose Green,Peckham Rye,1202/2016
304,E05000544,E05011103,Goose Green,Village,1202/2016
305,E05000539,E05011103,Goose Green,East Dulwich,1202/2016
306,E05000537,E05011104,London Bridge & West Bermondsey,Chaucer,1202/2016
307,E05000542,E05011104,London Bridge & West Bermondsey,Grange,1202/2016
308,E05000548,E05011104,London Bridge & West Bermondsey,Riverside,1202/2016
309,E05000535,E05011105,Newington,Camberwell Green,1202/2016
310,E05000544,E05011105,Newington,Newington,1202/2016
311,E05000548,E05011106,North Bermondsey,Riverside,1202/2016
312,E05000549,E05011106,North Bermondsey,Rotherhithe,1202/2016
313,E05000541,E05011107,North Walworth,Faraday,1202/2016
314,E05000544,E05011107,North Walworth,Newington,1202/2016
315,E05000540,E05011107,North Walworth,East Walworth,1202/2016
316,E05000543,E05011108,Nunhead & Queen's Road,Livesey,1202/2016
317,E05000545,E05011108,Nunhead & Queen's Road,Nunhead,1202/2016
318,E05000553,E05011108,Nunhead & Queen's Road,The Lane,1202/2016
319,E05000540,E05011109,Old Kent Road,East Walworth,1202/2016
320,E05000550,E05011109,Old Kent Road,South Bermondsey,1202/2016
321,E05000545,E05011109,Old Kent Road,Nunhead,1202/2016
322,E05000543,E05011109,Old Kent Road,Livesey,1202/2016
323,E05000534,E05011110,Peckham,Brunswick Park,1202/2016
324,E05000546,E05011110,Peckham,Peckham,1202/2016
325,E05000545,E05011111,Peckham Rye,Nunhead,1202/2016
326,E05000547,E05011111,Peckham Rye,Peckham Rye,1202/2016
327,E05000543,E05011112,Rotherhithe,Livesey,1202/2016
328,E05000549,E05011112,Rotherhithe,Rotherhithe,1202/2016
329,E05000552,E05011112,Rotherhithe,Surrey Docks,1202/2016
330,E05000551,E05011113,Rye Lane,South Camberwell,1202/2016
331,E05000553,E05011113,Rye Lane,The Lane,1202/2016
332,E05000536,E05011114,St George's,Cathedrals,1202/2016
333,E05000534,E05011115,St Giles,Brunswick Park,1202/2016
334,E05000535,E05011115,St Giles,Camberwell Green,1202/2016
335,E05000541,E05011115,St Giles,Faraday,1202/2016
336,E05000546,E05011115,St Giles,Peckham,1202/2016
337,E05000553,E05011115,St Giles,The Lane,1202/2016
338,E05000550,E05011116,South Bermondsey,South Bermondsey,1202/2016
339,E05000542,E05011116,South Bermondsey,Grange,1202/2016
340,E05000543,E05011116,South Bermondsey,Livesey,1202/2016
341,E05000552,E05011117,Surrey Docks,Surrey Docks,1202/2016
342,E05001178,E05011118,Acocks Green,Acocks Green,1140/2016
343,E05001194,E05011119,Allens Cross,Longbridge,1140/2016
344,E05001217,E05011119,Allens Cross,Weoley,1140/2016
345,E05001190,E05011120,Alum Rock,Hodge Hill,1140/2016
346,E05001216,E05011120,Alum Rock,Washwood Heath,1140/2016
347,E05001179,E05011121,Aston,Aston,1140/2016
348,E05001200,E05011121,Aston,Perry Barr,1140/2016
349,E05001196,E05011122,Balsall Heath West,Moseley and Kings Heath,1140/2016
350,E05001207,E05011122,Balsall Heath West,Sparkbrook,1140/2016
351,E05001185,E05011122,Balsall Heath West,Edgbaston,1140/2016
352,E05001180,E05011123,Bartley Green,Bartley Green,1140/2016
353,E05001181,E05011124,Billesley,Billesley,1140/2016
354,E05001184,E05011124,Billesley,Brandwood,1140/2016
355,E05001208,E05011124,Billesley,Springfield,1140/2016
356,E05001195,E05011125,Birchfield,Lozells and East Handsworth,1140/2016
357,E05001182,E05011126,Bordesley & Highgate,Bordesley Green,1140/2016
358,E05001197,E05011126,Bordesley & Highgate,Nechells,1140/2016
359,E05001206,E05011127,Bordesley Green,South Yardley,1140/2016
360,E05001197,E05011127,Bordesley Green,Nechells,1140/2016
361,E05001182,E05011127,Bordesley Green,Bordesley Green,1140/2016
362,E05001202,E05011128,Bournbrook & Selly Park,Selly Oak,1140/2016
363,E05001183,E05011129,Bournville & Cotteridge,Bournville,1140/2016
364,E05001198,E05011129,Bournville & Cotteridge,Northfield,1140/2016
365,E05001202,E05011129,Bournville & Cotteridge,Selly Oak,1140/2016
366,E05001183,E05011130,Brandwood & King's Heath,Bournville,1140/2016
367,E05001184,E05011130,Brandwood & King's Heath,Brandwood,1140/2016
368,E05001196,E05011130,Brandwood & King's Heath,Moseley and Kings Heath,1140/2016
369,E05001203,E05011131,Bromford & Hodge Hill,Shard End,1140/2016
370,E05001190,E05011131,Bromford & Hodge Hill,Hodge Hill,1140/2016
371,E05001215,E05011132,Castle Vale,Tyburn,1140/2016
372,E05001184,E05011133,Druids Heath & Monyhull,Brandwood,1140/2016
373,E05001185,E05011134,Edgbaston,Edgbaston,1140/2016
374,E05001186,E05011135,Erdington,Erdington,1140/2016
375,E05001192,E05011135,Erdington,Kingstanding,1140/2016
376,E05001194,E05011136,Frankley Great Park,Longbridge,1140/2016
377,E05001204,E05011137,Garretts Green,Sheldon,1140/2016
378,E05001209,E05011137,Garretts Green,Stechford and Yardley North,1140/2016
379,E05001216,E05011138,Glebe Farm & Tile Cross,Washwood Heath,1140/2016
380,E05001209,E05011138,Glebe Farm & Tile Cross,Stechford and Yardley North,1140/2016
381,E05001203,E05011138,Glebe Farm & Tile Cross,Shard End,1140/2016
382,E05001215,E05011139,Gravelly Hill,Tyburn,1140/2016
383,E05001210,E05011139,Gravelly Hill,Stockland Green,1140/2016
384,E05001178,E05011140,Hall Green North,Acocks Green,1140/2016
385,E05001187,E05011140,Hall Green North,Hall Green,1140/2016
386,E05001208,E05011140,Hall Green North,Springfield,1140/2016
387,E05001187,E05011141,Hall Green South,Hall Green,1140/2016
388,E05001188,E05011142,Handsworth,Handsworth Wood,1140/2016
389,E05001195,E05011142,Handsworth,Lozells and East Handsworth,1140/2016
390,E05001188,E05011143,Handsworth Wood,Handsworth Wood,1140/2016
391,E05001195,E05011143,Handsworth Wood,Lozells and East Handsworth,1140/2016
392,E05001189,E05011144,Harborne,Harborne,1140/2016
393,E05001201,E05011144,Harborne,Quinton,1140/2016
394,E05001180,E05011144,Harborne,Bartley Green,1140/2016
395,E05001182,E05011145,Heartlands,Bordesley Green,1140/2016
396,E05001181,E05011146,Highter's Heath,Billesley,1140/2016
397,E05001188,E05011147,Holyhead,Handsworth Wood,1140/2016
398,E05001205,E05011147,Holyhead,Soho,1140/2016
399,E05001191,E05011148,King's Norton North,Kings Norton,1140/2016
400,E05001198,E05011148,King's Norton North,Northfield,1140/2016
401,E05001184,E05011148,King's Norton North,Brandwood,1140/2016
402,E05001191,E05011149,King's Norton South,Kings Norton,1140/2016
403,E05001192,E05011150,Kingstanding,Kingstanding,1140/2016
404,E05001199,E05011150,Kingstanding,Oscott,1140/2016
405,E05001193,E05011151,Ladywood,Ladywood,1140/2016
406,E05001197,E05011151,Ladywood,Nechells,1140/2016
407,E05001191,E05011152,Longbridge & West Heath,Kings Norton,1140/2016
408,E05001194,E05011152,Longbridge & West Heath,Longbridge,1140/2016
409,E05001198,E05011152,Longbridge & West Heath,Northfield,1140/2016
410,E05001179,E05011153,Lozells,Aston,1140/2016
411,E05001195,E05011153,Lozells,Lozells and East Handsworth,1140/2016
412,E05001207,E05011154,Moseley,Sparkbrook,1140/2016
413,E05001208,E05011154,Moseley,Springfield,1140/2016
414,E05001196,E05011154,Moseley,Moseley and Kings Heath,1140/2016
415,E05001197,E05011155,Nechells,Nechells,1140/2016
416,E05001179,E05011156,Newtown,Aston,1140/2016
417,E05001193,E05011156,Newtown,Ladywood,1140/2016
418,E05001195,E05011156,Newtown,Lozells and East Handsworth,1140/2016
419,E05001193,E05011157,North Edgbaston,Ladywood,1140/2016
420,E05001189,E05011157,North Edgbaston,Harborne,1140/2016
421,E05001185,E05011157,North Edgbaston,Edgbaston,1140/2016
422,E05001205,E05011157,North Edgbaston,Soho,1140/2016
423,E05001194,E05011158,Northfield,Longbridge,1140/2016
424,E05001198,E05011158,Northfield,Northfield,1140/2016
425,E05001217,E05011158,Northfield,Weoley,1140/2016
426,E05001199,E05011159,Oscott,Oscott,1140/2016
427,E05001199,E05011160,Perry Barr,Oscott,1140/2016
428,E05001200,E05011160,Perry Barr,Perry Barr,1140/2016
429,E05001192,E05011161,Perry Common,Kingstanding,1140/2016
430,E05001186,E05011161,Perry Common,Erdington,1140/2016
431,E05001186,E05011162,Pype Hayes,Erdington,1140/2016
432,E05001215,E05011162,Pype Hayes,Tyburn,1140/2016
433,E05001201,E05011163,Quinton,Quinton,1140/2016
434,E05001194,E05011164,Rubery & Rednal,Longbridge,1140/2016
435,E05001203,E05011165,Shard End,Shard End,1140/2016
436,E05001204,E05011166,Sheldon,Sheldon,1140/2016
437,E05001182,E05011167,Small Heath,Bordesley Green,1140/2016
438,E05001206,E05011167,Small Heath,South Yardley,1140/2016
439,E05001205,E05011168,Soho & Jewellery Quarter,Soho,1140/2016
440,E05001193,E05011168,Soho & Jewellery Quarter,Ladywood,1140/2016
441,E05001206,E05011169,South Yardley,South Yardley,1140/2016
442,E05001178,E05011170,Sparkbrook & Balsall Heath East,Acocks Green,1140/2016
443,E05001196,E05011170,Sparkbrook & Balsall Heath East,Moseley and Kings Heath,1140/2016
444,E05001206,E05011170,Sparkbrook & Balsall Heath East,South Yardley,1140/2016
445,E05001207,E05011170,Sparkbrook & Balsall Heath East,Sparkbrook,1140/2016
446,E05001208,E05011170,Sparkbrook & Balsall Heath East,Springfield,1140/2016
447,E05001208,E05011171,Sparkhill,Springfield,1140/2016
448,E05001183,E05011172,Stirchley,Bournville,1140/2016
449,E05001196,E05011172,Stirchley,Moseley and Kings Heath,1140/2016
450,E05001192,E05011173,Stockland Green,Kingstanding,1140/2016
451,E05001210,E05011173,Stockland Green,Stockland Green,1140/2016
452,E05001213,E05011174,Sutton Four Oaks,Sutton Trinity,1140/2016
453,E05001211,E05011174,Sutton Four Oaks,Sutton Four Oaks,1140/2016
454,E05001211,E05011175,Sutton Mere Green,Sutton Four Oaks,1140/2016
455,E05001213,E05011175,Sutton Mere Green,Sutton Trinity,1140/2016
456,E05001212,E05011176,Sutton Reddicap,Sutton New Hall,1140/2016
457,E05001213,E05011176,Sutton Reddicap,Sutton Trinity,1140/2016
458,E05001211,E05011177,Sutton Roughley,Sutton Four Oaks,1140/2016
459,E05001213,E05011177,Sutton Roughley,Sutton Trinity,1140/2016
460,E05001211,E05011178,Sutton Trinity,Sutton Four Oaks,1140/2016
461,E05001213,E05011178,Sutton Trinity,Sutton Trinity,1140/2016
462,E05001214,E05011178,Sutton Trinity,Sutton Vesey,1140/2016
463,E05001186,E05011179,Sutton Vesey,Erdington,1140/2016
464,E05001211,E05011179,Sutton Vesey,Sutton Four Oaks,1140/2016
465,E05001214,E05011179,Sutton Vesey,Sutton Vesey,1140/2016
466,E05001212,E05011180,Sutton Walmley & Minworth,Sutton New Hall,1140/2016
467,E05001213,E05011180,Sutton Walmley & Minworth,Sutton Trinity,1140/2016
468,E05001214,E05011181,Sutton Wylde Green,Sutton Vesey,1140/2016
469,E05001212,E05011181,Sutton Wylde Green,Sutton New Hall,1140/2016
470,E05001213,E05011181,Sutton Wylde Green,Sutton Trinity,1140/2016
471,E05001208,E05011182,Tyseley & Hay Mills,Springfield,1140/2016
472,E05001178,E05011182,Tyseley & Hay Mills,Acocks Green,1140/2016
473,E05001206,E05011182,Tyseley & Hay Mills,South Yardley,1140/2016
474,E05001190,E05011183,Ward End,Hodge Hill,1140/2016
475,E05001216,E05011183,Ward End,Washwood Heath,1140/2016
476,E05001180,E05011184,Weoley & Selly Oak,Bartley Green,1140/2016
477,E05001202,E05011184,Weoley & Selly Oak,Selly Oak,1140/2016
478,E05001217,E05011184,Weoley & Selly Oak,Weoley,1140/2016
479,E05001209,E05011185,Yardley East,Stechford and Yardley North,1140/2016
480,E05001206,E05011186,Yardley West & Stechford,South Yardley,1140/2016
481,E05001209,E05011186,Yardley West & Stechford,Stechford and Yardley North,1140/2016
482,E05004498,E05011187,Bishopstoke,Bishopstoke West,1231/2016
483,E05004506,E05011187,Bishopstoke,Fair Oak and Horton Heath,1231/2016
484,E05004497,E05011187,Bishopstoke,Bishopstoke East,1231/2016
485,E05004499,E05011188,Botley,Botley,1231/2016
486,E05004500,E05011189,Bursledon & Hound North,Bursledon and Old Netley,1231/2016
487,E05004507,E05011189,Bursledon & Hound North,Hamble-le-Rice and Butlocks Heath,1231/2016
488,E05004501,E05011190,Chandler's Ford,Chandler's Ford East,1231/2016
489,E05004502,E05011190,Chandler's Ford,Chandler's Ford West,1231/2016
490,E05004503,E05011191,Eastleigh Central,Eastleigh Central,1231/2016
491,E05004503,E05011192,Eastleigh North,Eastleigh Central,1231/2016
492,E05004504,E05011192,Eastleigh North,Eastleigh North,1231/2016
493,E05004505,E05011193,Eastleigh South,Eastleigh South,1231/2016
494,E05004497,E05011194,Fair Oak & Horton Heath,Bishopstoke East,1231/2016
495,E05004506,E05011194,Fair Oak & Horton Heath,Fair Oak and Horton Heath,1231/2016
496,E05004507,E05011195,Hamble & Netley,Hamble-le-Rice and Butlocks Heath,1231/2016
497,E05004513,E05011195,Hamble & Netley,Netley Abbey,1231/2016
498,E05004508,E05011196,Hedge End North,Hedge End Grange Park,1231/2016
499,E05004510,E05011196,Hedge End North,Hedge End Wildern,1231/2016
500,E05004509,E05011197,Hedge End South,Hedge End St John's,1231/2016
501,E05004510,E05011197,Hedge End South,Hedge End Wildern,1231/2016
502,E05004512,E05011198,Hiltingbury,Hiltingbury West,1231/2016
503,E05004511,E05011198,Hiltingbury,Hiltingbury East,1231/2016
504,E05004514,E05011199,West End North,West End North,1231/2016
505,E05004515,E05011199,West End North,West End South,1231/2016
506,E05004500,E05011200,West End South,Bursledon and Old Netley,1231/2016
507,E05004515,E05011200,West End South,West End South,1231/2016
508,E05003929,E05011201,Ashdown,Ashdown,1228/2016
509,E05003939,E05011202,Baird,Ore,1228/2016
510,E05003930,E05011202,Baird,Baird,1228/2016
511,E05003940,E05011203,Braybrooke,St Helens,1228/2016
512,E05003931,E05011203,Braybrooke,Braybrooke,1228/2016
513,E05003935,E05011203,Braybrooke,Gensing,1228/2016
514,E05003932,E05011204,Castle,Castle,1228/2016
515,E05003933,E05011205,Central St Leonards,Central St Leonards,1228/2016
516,E05003937,E05011205,Central St Leonards,Maze Hill,1228/2016
517,E05003934,E05011206,Conquest,Conquest,1228/2016
518,E05003935,E05011207,Gensing,Gensing,1228/2016
519,E05003941,E05011207,Gensing,Silverhill,1228/2016
520,E05003936,E05011208,Hollington,Hollington,1228/2016
521,E05003943,E05011209,Maze Hill,West St Leonards,1228/2016
522,E05003937,E05011209,Maze Hill,Maze Hill,1228/2016
523,E05003935,E05011209,Maze Hill,Gensing,1228/2016
524,E05003938,E05011210,Old Hastings,Old Hastings,1228/2016
525,E05003938,E05011211,Ore,Old Hastings,1228/2016
526,E05003939,E05011211,Ore,Ore,1228/2016
527,E05003942,E05011211,Ore,Tressell,1228/2016
528,E05003940,E05011212,St Helens,St Helens,1228/2016
529,E05003934,E05011213,Silverhill,Conquest,1228/2016
530,E05003941,E05011213,Silverhill,Silverhill,1228/2016
531,E05003929,E05011213,Silverhill,Ashdown,1228/2016
532,E05003944,E05011213,Silverhill,Wishing Tree,1228/2016
533,E05003932,E05011214,Tressell,Castle,1228/2016
534,E05003938,E05011214,Tressell,Old Hastings,1228/2016
535,E05003942,E05011214,Tressell,Tressell,1228/2016
536,E05003943,E05011215,West St Leonards,West St Leonards,1228/2016
537,E05003936,E05011216,Wishing Tree,Hollington,1228/2016
538,E05003944,E05011216,Wishing Tree,Wishing Tree,1228/2016
539,E05000079,E05011217,Barnehurst,North End,481/2017
540,E05000080,E05011217,Barnehurst,Northumberland Heath,481/2017
541,E05000064,E05011217,Barnehurst,Barnehurst,481/2017
542,E05000070,E05011217,Barnehurst,Colyers,481/2017
543,E05000075,E05011218,Belvedere,Erith,481/2017
544,E05000077,E05011218,Belvedere,Lesnes Abbey,481/2017
545,E05000065,E05011218,Belvedere,Belvedere,481/2017
546,E05000064,E05011219,Bexleyheath,Barnehurst,481/2017
547,E05000068,E05011219,Bexleyheath,Brampton,481/2017
548,E05000069,E05011219,Bexleyheath,Christchurch,481/2017
549,E05000080,E05011219,Bexleyheath,Northumberland Heath,481/2017
550,E05000066,E05011220,Blackfen & Lamorbey,Blackfen and Lamorbey,481/2017
551,E05000083,E05011220,Blackfen & Lamorbey,Sidcup,481/2017
552,E05000067,E05011220,Blackfen & Lamorbey,Blendon and Penhill,481/2017
553,E05000076,E05011220,Blackfen & Lamorbey,Falconwood and Welling,481/2017
554,E05000067,E05011221,Blendon & Penhill,Blendon and Penhill,481/2017
555,E05000081,E05011221,Blendon & Penhill,St Mary's,481/2017
556,E05000083,E05011221,Blendon & Penhill,Sidcup,481/2017
557,E05000064,E05011222,Crayford,Barnehurst,481/2017
558,E05000071,E05011222,Crayford,Crayford,481/2017
559,E05000079,E05011222,Crayford,North End,481/2017
560,E05000068,E05011223,Crook Log,Brampton,481/2017
561,E05000082,E05011223,Crook Log,St Michael's,481/2017
562,E05000073,E05011223,Crook Log,Danson Park,481/2017
563,E05000069,E05011223,Crook Log,Christchurch,481/2017
564,E05000074,E05011224,East Wickham,East Wickham,481/2017
565,E05000082,E05011224,East Wickham,St Michael's,481/2017
566,E05000070,E05011225,Erith,Colyers,481/2017
567,E05000075,E05011225,Erith,Erith,481/2017
568,E05000073,E05011226,Falconwood & Welling,Danson Park,481/2017
569,E05000076,E05011226,Falconwood & Welling,Falconwood and Welling,481/2017
570,E05000083,E05011227,Longlands,Sidcup,481/2017
571,E05000078,E05011227,Longlands,Longlands,481/2017
572,E05000080,E05011228,Northumberland Heath,Northumberland Heath,481/2017
573,E05000075,E05011228,Northumberland Heath,Erith,481/2017
574,E05000068,E05011228,Northumberland Heath,Brampton,481/2017
575,E05000070,E05011228,Northumberland Heath,Colyers,481/2017
576,E05000072,E05011229,St Mary's & St James,Cray Meadows,481/2017
577,E05000081,E05011229,St Mary's & St James,St Mary's,481/2017
578,E05000083,E05011230,Sidcup,Sidcup,481/2017
579,E05000072,E05011230,Sidcup,Cray Meadows,481/2017
580,E05000078,E05011230,Sidcup,Longlands,481/2017
581,E05000079,E05011231,Slade Green & Northend,North End,481/2017
582,E05000075,E05011231,Slade Green & Northend,Erith,481/2017
583,E05000070,E05011231,Slade Green & Northend,Colyers,481/2017
584,E05000077,E05011232,Thamesmead East,Lesnes Abbey,481/2017
585,E05000084,E05011232,Thamesmead East,Thamesmead East,481/2017
586,E05000082,E05011233,West Heath,St Michael's,481/2017
587,E05000065,E05011233,West Heath,Belvedere,481/2017
588,E05000068,E05011233,West Heath,Brampton,481/2017
589,E05000077,E05011233,West Heath,Lesnes Abbey,481/2017
590,E05000080,E05011233,West Heath,Northumberland Heath,481/2017
591,E05000495,E05011234,Aldborough,Aldborough,609/2017
592,E05000496,E05011235,Barkingside,Barkingside,609/2017
593,E05000495,E05011235,Barkingside,Aldborough,609/2017
594,E05000497,E05011236,Bridge,Bridge,609/2017
595,E05000503,E05011236,Bridge,Fairlop,609/2017
596,E05000511,E05011236,Bridge,Roding,609/2017
597,E05000498,E05011237,Chadwell,Chadwell,609/2017
598,E05000512,E05011237,Chadwell,Seven Kings,609/2017
599,E05000499,E05011238,Churchfields,Church End,609/2017
600,E05000509,E05011238,Churchfields,Monkhams,609/2017
601,E050000511,E05011238,Churchfields,Roding,609/2017
602,E05000500,E05011239,Clayhall,Clayhall,609/2017
603,E05000511,E05011239,Clayhall,Roding,609/2017
604,E05000515,E05011239,Clayhall,Wanstead,609/2017
605,E05000501,E05011240,Clementswood,Clementswood,609/2017
606,E05000507,E05011240,Clementswood,Loxford,609/2017
607,E05000508,E05011240,Clementswood,Mayfield,609/2017
608,E05000510,E05011241,Cranbrook,Newbury,609/2017
609,E05000502,E05011241,Cranbrook,Cranbrook,609/2017
610,E05000503,E05011242,Fairlop,Fairlop,609/2017
611,E05000504,E05011242,Fairlop,Fullwell,609/2017
612,E05000500,E05011243,Fullwell,Clayhall,609/2017
613,E05000504,E05011243,Fullwell,Fullwell,609/2017
614,E05000511,E05011243,Fullwell,Roding,609/2017
615,E05000505,E05011244,Goodmayes,Goodmayes,609/2017
616,E05000512,E05011244,Goodmayes,Seven Kings,609/2017
617,E05000506,E05011245,Hainault,Hainault,609/2017
618,E05000510,E05011246,Ilford Town,Newbury,609/2017
619,E05000514,E05011246,Ilford Town,Valentines,609/2017
620,E05000501,E05011246,Ilford Town,Clementswood,609/2017
621,E05000507,E05011246,Ilford Town,Loxford,609/2017
